sys_created_on,closed_at,quantity,csr_triggered,ohs_triggered,sub_task,SubTask_Number,business_duration,state,sys_updated_on,opened_at,assignment_group,number,Working_Turn_Around_Days
22/02/2023,23/02/2023,1,TRUE,TRUE,Require Both,"SubTask_0217055, SubTask_0217054",0.649305556,Closed Incomplete,6/05/2024,22/02/2023,Procurement Operations Team,SR_Req_0919207,2
22/02/2023,24/03/2023,1,TRUE,TRUE,Require Both,"SubTask_0217062, SubTask_0217551, SubTask_0217061",29.53402778,Closed Complete,24/03/2023,22/02/2023,Finance Operations Team,SR_Req_0919743,22
23/02/2023,9/03/2023,1,TRUE,FALSE,Require CSR,"SubTask_0217182, SubTask_0217547",14.20069444,Closed Complete,9/03/2023,23/02/2023,Finance Operations Team,SR_Req_0920062,11
23/02/2023,14/04/2023,1,FALSE,TRUE,Require OH&S,SubTask_0217207,49.77291667,Closed Complete,14/04/2023,23/02/2023,Finance Operations Team,SR_Req_0920227,33
23/02/2023,24/02/2023,1,TRUE,TRUE,Require Both,"SubTask_0217245, SubTask_0217244",0.784027778,Closed Incomplete,6/05/2024,23/02/2023,Procurement Operations Team,SR_Req_0920470,2
23/02/2023,2/03/2023,1,TRUE,FALSE,Require CSR,"SubTask_0217246, SubTask_0217555",6.85,Closed Complete,2/03/2023,23/02/2023,Finance Operations Team,SR_Req_0920471,6
23/02/2023,3/04/2023,1,FALSE,TRUE,Require OH&S,SubTask_0217247,38.60277778,Closed Complete,3/04/2023,23/02/2023,Finance Operations Team,SR_Req_0920472,27
24/02/2023,8/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0217403,12.03055556,Closed Complete,8/03/2023,24/02/2023,Finance Operations Team,SR_Req_0921312,9
27/02/2023,28/03/2023,1,FALSE,FALSE,Require Neither,,28.95625,Closed Complete,28/03/2023,27/02/2023,Finance Operations Team,SR_Req_0922624,21
27/02/2023,8/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0217670,8.970833333,Closed Complete,8/03/2023,27/02/2023,Finance Operations Team,SR_Req_0923063,8
28/02/2023,16/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0217691,16.37916667,Closed Complete,16/03/2023,28/02/2023,Finance Operations Team,SR_Req_0923281,12
28/02/2023,2/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0217716,2.2625,Closed Complete,2/03/2023,28/02/2023,Finance Operations Team,SR_Req_0923438,3
28/02/2023,3/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0217811,3.010416667,Closed Complete,3/03/2023,28/02/2023,Finance Operations Team,SR_Req_0924056,4
28/02/2023,5/04/2023,1,FALSE,FALSE,Require Neither,,35.87222222,Closed Complete,5/04/2023,28/02/2023,Finance Operations Team,SR_Req_0924075,26
1/03/2023,25/05/2023,1,FALSE,TRUE,Require OH&S,SubTask_0217915,85.20972222,Closed Incomplete,6/05/2024,1/03/2023,Procurement Operations Team,SR_Req_0924289,57
1/03/2023,10/03/2023,1,FALSE,FALSE,Require Neither,,9.267361111,Closed Complete,10/03/2023,1/03/2023,Finance Operations Team,SR_Req_0924297,8
1/03/2023,8/03/2023,1,FALSE,FALSE,Require Neither,,7.102777778,Closed Complete,8/03/2023,1/03/2023,Finance Operations Team,SR_Req_0924542,6
1/03/2023,1/05/2023,1,TRUE,TRUE,Require Both,"SubTask_0217999, SubTask_0217998",60.8875,Closed Complete,1/05/2023,1/03/2023,Finance Operations Team,SR_Req_0924620,39
1/03/2023,2/03/2023,1,FALSE,TRUE,Require OH&S,SubTask_0218001,0.032638889,Closed Incomplete,6/05/2024,1/03/2023,Procurement Operations Team,SR_Req_0924641,2
1/03/2023,22/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219159,20.80902778,Closed Complete,22/03/2023,1/03/2023,Finance Operations Team,SR_Req_0924721,15
1/03/2023,28/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0218014,26.81319444,Closed Complete,28/03/2023,1/03/2023,Finance Operations Team,SR_Req_0924741,19
2/03/2023,9/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0218060,7.180555556,Closed Complete,9/03/2023,2/03/2023,Finance Operations Team,SR_Req_0925050,6
2/03/2023,25/05/2023,1,FALSE,TRUE,Require OH&S,SubTask_0218117,84.14236111,Closed Incomplete,6/05/2024,2/03/2023,Procurement Operations Team,SR_Req_0925247,56
2/03/2023,24/03/2023,1,TRUE,TRUE,Require Both,"SubTask_0218156, SubTask_0219154, SubTask_0218155",21.88819444,Closed Complete,24/03/2023,2/03/2023,Finance Operations Team,SR_Req_0925331,16
2/03/2023,10/03/2023,1,TRUE,FALSE,Require CSR,"SubTask_0218189, SubTask_0219157",8.102777778,Closed Complete,10/03/2023,2/03/2023,Finance Operations Team,SR_Req_0925456,7
2/03/2023,8/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0218278,5.990277778,Closed Complete,8/03/2023,2/03/2023,Finance Operations Team,SR_Req_0925650,5
3/03/2023,9/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0218344,6.321527778,Closed Complete,9/03/2023,3/03/2023,Finance Operations Team,SR_Req_0925902,5
3/03/2023,1/05/2023,1,FALSE,TRUE,Require OH&S,SubTask_0218360,59.15208333,Closed Complete,1/05/2023,3/03/2023,Finance Operations Team,SR_Req_0925936,37
3/03/2023,24/03/2023,1,TRUE,FALSE,Require CSR,"SubTask_0218446, SubTask_0220742",20.85416667,Closed Complete,24/03/2023,3/03/2023,Finance Operations Team,SR_Req_0926136,15
3/03/2023,24/03/2023,1,FALSE,FALSE,Require Neither,,20.82569444,Closed Complete,24/03/2023,3/03/2023,Finance Operations Team,SR_Req_0926176,15
3/03/2023,29/03/2023,1,FALSE,FALSE,Require Neither,,26.03333333,Closed Complete,29/03/2023,3/03/2023,Finance Operations Team,SR_Req_0926246,18
4/03/2023,22/03/2023,1,TRUE,FALSE,Require CSR,"SubTask_0218579, SubTask_0219390",18.01388889,Closed Complete,22/03/2023,4/03/2023,Finance Operations Team,SR_Req_0926547,12
6/03/2023,15/03/2023,1,FALSE,FALSE,Require Neither,,8.903472222,Closed Complete,15/03/2023,6/03/2023,Finance Operations Team,SR_Req_0927043,7
6/03/2023,3/04/2023,1,FALSE,FALSE,Require Neither,,27.78263889,Closed Complete,3/04/2023,6/03/2023,Finance Operations Team,SR_Req_0927426,20
6/03/2023,29/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0218897,22.74652778,Closed Complete,29/03/2023,6/03/2023,Finance Operations Team,SR_Req_0927463,17
6/03/2023,13/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0218908, SubTask_0221896",37.87152778,Closed Complete,13/04/2023,6/03/2023,Finance Operations Team,SR_Req_0927586,25
7/03/2023,18/05/2023,1,FALSE,FALSE,Require Neither,,71.91875,Closed Complete,18/05/2023,7/03/2023,Finance Operations Team,SR_Req_0927796,48
7/03/2023,12/05/2023,1,FALSE,FALSE,Require Neither,SubTask_0226204,65.98263889,Closed Complete,12/05/2023,7/03/2023,Finance Operations Team,SR_Req_0928117,44
7/03/2023,26/04/2023,1,TRUE,TRUE,Require Both,"SubTask_0219164, SubTask_0219163",49.59791667,Closed Complete,26/04/2023,7/03/2023,Finance Operations Team,SR_Req_0928375,32
8/03/2023,3/05/2023,1,FALSE,FALSE,Require Neither,,56.00833333,Closed Complete,3/05/2023,8/03/2023,Finance Operations Team,SR_Req_0928920,36
8/03/2023,16/03/2023,1,FALSE,FALSE,Require Neither,,8.036805556,Closed Complete,16/03/2023,8/03/2023,Finance Operations Team,SR_Req_0928956,6
8/03/2023,24/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219378,15.71527778,Closed Complete,24/03/2023,8/03/2023,Finance Operations Team,SR_Req_0928970,12
8/03/2023,13/04/2023,1,FALSE,FALSE,Require Neither,,36.14861111,Closed Complete,13/04/2023,8/03/2023,Finance Operations Team,SR_Req_0928984,23
9/03/2023,21/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0219510,42.79097222,Closed Complete,21/04/2023,9/03/2023,Finance Operations Team,SR_Req_0929609,28
9/03/2023,29/05/2023,1,TRUE,TRUE,Require Both,"SubTask_0219521, SubTask_0219520",80.97569444,Closed Incomplete,29/05/2023,9/03/2023,Procurement Operations Team,SR_Req_0929666,53
9/03/2023,6/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0219544, SubTask_0221044",28.11180556,Closed Incomplete,6/04/2023,9/03/2023,Procurement Operations Team,SR_Req_0929767,20
9/03/2023,31/05/2023,1,FALSE,FALSE,Require Neither,,82.79722222,Closed Complete,31/05/2023,9/03/2023,Finance Operations Team,SR_Req_0929768,55
10/03/2023,22/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219646,11.93333333,Closed Complete,22/03/2023,10/03/2023,Finance Operations Team,SR_Req_0930092,8
10/03/2023,10/03/2023,1,FALSE,FALSE,Require Neither,,0.182638889,Closed Complete,10/03/2023,10/03/2023,Procurement Operations Team,SR_Req_0930141,1
10/03/2023,22/03/2023,1,FALSE,FALSE,Require Neither,,11.51527778,Closed Complete,22/03/2023,10/03/2023,Finance Operations Team,SR_Req_0930443,8
12/03/2023,22/03/2023,1,FALSE,FALSE,Require Neither,,10.01527778,Closed Complete,22/03/2023,12/03/2023,Finance Operations Team,SR_Req_0930475,7
12/03/2023,29/03/2023,1,FALSE,FALSE,Require Neither,,16.75,Closed Complete,29/03/2023,12/03/2023,Finance Operations Team,SR_Req_0930487,12
14/03/2023,23/03/2023,1,FALSE,TRUE,Require OH&S,SubTask_0219799,9.136111111,Closed Complete,23/03/2023,14/03/2023,Procurement Operations Team,SR_Req_0930877,8
14/03/2023,12/05/2023,1,TRUE,FALSE,Require CSR,"SubTask_0219810, SubTask_0221483",59.10555556,Closed Complete,12/05/2023,14/03/2023,Finance Operations Team,SR_Req_0930940,40
14/03/2023,3/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0219814,19.95625,Closed Complete,3/04/2023,14/03/2023,Finance Operations Team,SR_Req_0930958,15
14/03/2023,22/03/2023,1,FALSE,FALSE,Require Neither,,8.138888889,Closed Complete,22/03/2023,14/03/2023,Procurement Operations Team,SR_Req_0931034,7
14/03/2023,21/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219824,6.844444444,Closed Complete,21/03/2023,14/03/2023,Finance Operations Team,SR_Req_0931062,6
14/03/2023,21/03/2023,1,FALSE,FALSE,Require Neither,,6.808333333,Closed Complete,21/03/2023,14/03/2023,Finance Operations Team,SR_Req_0931115,6
14/03/2023,17/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219848,2.803472222,Closed Complete,17/03/2023,14/03/2023,Procurement Operations Team,SR_Req_0931212,4
14/03/2023,24/03/2023,1,FALSE,FALSE,Require Neither,,9.731944444,Closed Complete,24/03/2023,14/03/2023,Finance Operations Team,SR_Req_0931218,9
14/03/2023,4/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0219853,20.74027778,Closed Incomplete,4/04/2023,14/03/2023,Procurement Operations Team,SR_Req_0931234,16
14/03/2023,17/04/2023,1,FALSE,TRUE,Require OH&S,SubTask_0219868,33.69444444,Closed Complete,17/04/2023,14/03/2023,Finance Operations Team,SR_Req_0931299,22
14/03/2023,17/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219871,2.735416667,Closed Complete,17/03/2023,14/03/2023,Procurement Operations Team,SR_Req_0931308,4
14/03/2023,17/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219872,2.833333333,Closed Complete,17/03/2023,14/03/2023,Procurement Operations Team,SR_Req_0931310,4
14/03/2023,29/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219873,14.82430556,Closed Incomplete,29/03/2023,14/03/2023,Procurement Operations Team,SR_Req_0931312,12
14/03/2023,3/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0219880,19.62013889,Closed Complete,3/04/2023,14/03/2023,Finance Operations Team,SR_Req_0931376,15
14/03/2023,17/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0219881,2.590972222,Closed Complete,17/03/2023,14/03/2023,Procurement Operations Team,SR_Req_0931378,4
15/03/2023,10/05/2023,1,FALSE,FALSE,Require Neither,,56.44305556,Closed Incomplete,10/05/2023,15/03/2023,Finance Operations Team,SR_Req_0931405,37
15/03/2023,20/04/2023,1,FALSE,TRUE,Require OH&S,SubTask_0220023,35.98888889,Closed Complete,20/04/2023,15/03/2023,Finance Operations Team,SR_Req_0931859,24
15/03/2023,3/04/2023,1,FALSE,FALSE,Require Neither,,18.60833333,Closed Complete,3/04/2023,15/03/2023,Finance Operations Team,SR_Req_0932113,14
16/03/2023,29/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0220196,13.26388889,Closed Complete,29/03/2023,16/03/2023,Finance Operations Team,SR_Req_0932234,10
16/03/2023,29/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0220279,13.1625,Closed Complete,29/03/2023,16/03/2023,Finance Operations Team,SR_Req_0932410,10
16/03/2023,3/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0220281,17.95416667,Closed Complete,3/04/2023,16/03/2023,Finance Operations Team,SR_Req_0932414,13
16/03/2023,24/03/2023,1,FALSE,FALSE,Require Neither,,7.711805556,Closed Complete,24/03/2023,16/03/2023,Finance Operations Team,SR_Req_0932746,7
16/03/2023,3/05/2023,1,FALSE,FALSE,Require Neither,,47.75138889,Closed Complete,3/05/2023,16/03/2023,Finance Operations Team,SR_Req_0932908,31
17/03/2023,28/03/2023,1,FALSE,FALSE,Require Neither,,11.10277778,Closed Complete,28/03/2023,17/03/2023,Finance Operations Team,SR_Req_0932932,8
17/03/2023,31/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0220432,14.17777778,Closed Incomplete,31/03/2023,17/03/2023,Procurement Operations Team,SR_Req_0933029,11
17/03/2023,29/03/2023,1,FALSE,FALSE,Require Neither,,12.025,Closed Complete,29/03/2023,17/03/2023,Finance Operations Team,SR_Req_0933367,9
17/03/2023,3/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0220530, SubTask_0220765",16.80416667,Closed Complete,3/04/2023,17/03/2023,Finance Operations Team,SR_Req_0933388,12
17/03/2023,24/03/2023,1,FALSE,TRUE,Require OH&S,SubTask_0220567,6.729166667,Closed Complete,24/03/2023,17/03/2023,Finance Operations Team,SR_Req_0933419,6
17/03/2023,29/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0220573,11.84513889,Closed Complete,29/03/2023,17/03/2023,Finance Operations Team,SR_Req_0933497,9
18/03/2023,28/03/2023,1,FALSE,FALSE,Require Neither,,10.32222222,Closed Complete,28/03/2023,18/03/2023,Finance Operations Team,SR_Req_0933516,7
19/03/2023,28/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0220574, SubTask_0223132",39.65555556,Closed Complete,28/04/2023,19/03/2023,Finance Operations Team,SR_Req_0933569,26
20/03/2023,29/03/2023,1,FALSE,FALSE,Require Neither,,9.029861111,Closed Complete,29/03/2023,20/03/2023,Finance Operations Team,SR_Req_0934153,8
20/03/2023,17/04/2023,1,FALSE,FALSE,Require Neither,,27.71597222,Closed Complete,17/04/2023,20/03/2023,Finance Operations Team,SR_Req_0934236,18
20/03/2023,5/04/2023,1,FALSE,FALSE,Require Neither,,15.87708333,Closed Complete,5/04/2023,20/03/2023,Finance Operations Team,SR_Req_0934269,13
21/03/2023,13/04/2023,1,FALSE,FALSE,Require Neither,SubTask_0221319,23.47916667,Closed Complete,13/04/2023,21/03/2023,Finance Operations Team,SR_Req_0934357,15
21/03/2023,12/05/2023,1,TRUE,FALSE,Require CSR,SubTask_0220929,52.13194444,Closed Complete,12/05/2023,21/03/2023,Finance Operations Team,SR_Req_0934562,35
21/03/2023,29/03/2023,1,FALSE,FALSE,Require Neither,,8.190972222,Closed Complete,29/03/2023,21/03/2023,Finance Operations Team,SR_Req_0934569,7
21/03/2023,28/04/2023,1,FALSE,TRUE,Require OH&S,SubTask_0220941,38.09722222,Closed Complete,28/04/2023,21/03/2023,Finance Operations Team,SR_Req_0934592,25
21/03/2023,24/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0220961,2.860416667,Closed Complete,24/03/2023,21/03/2023,Finance Operations Team,SR_Req_0934670,4
21/03/2023,13/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0220967, SubTask_0221448",23.26805556,Closed Complete,13/04/2023,21/03/2023,Finance Operations Team,SR_Req_0934720,15
21/03/2023,24/03/2023,1,FALSE,FALSE,Require Neither,,2.829861111,Closed Complete,24/03/2023,21/03/2023,Finance Operations Team,SR_Req_0934733,4
21/03/2023,3/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0220969, SubTask_0221313",12.88194444,Closed Complete,3/04/2023,21/03/2023,Finance Operations Team,SR_Req_0934761,10
21/03/2023,17/04/2023,1,TRUE,TRUE,Require Both,"SubTask_0220979, SubTask_0220978",26.79375,Closed Complete,17/04/2023,21/03/2023,Finance Operations Team,SR_Req_0934831,17
21/03/2023,3/05/2023,1,TRUE,FALSE,Require CSR,"SubTask_0220996, SubTask_0221476",43.00208333,Closed Complete,3/05/2023,21/03/2023,Finance Operations Team,SR_Req_0934894,28
21/03/2023,31/05/2023,1,FALSE,FALSE,Require Neither,,70.79097222,Closed Complete,31/05/2023,21/03/2023,Finance Operations Team,SR_Req_0934951,48
21/03/2023,14/04/2023,1,FALSE,FALSE,Require Neither,,23.58541667,Closed Complete,14/04/2023,21/03/2023,Finance Operations Team,SR_Req_0935012,16
21/03/2023,5/05/2023,1,FALSE,FALSE,Require Neither,,44.55555556,Closed Complete,5/05/2023,21/03/2023,Finance Operations Team,SR_Req_0935035,30
22/03/2023,17/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0221087,26.00416667,Closed Complete,17/04/2023,22/03/2023,Finance Operations Team,SR_Req_0935102,16
22/03/2023,20/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0221096, SubTask_0222344",29.15277778,Closed Complete,20/04/2023,22/03/2023,Finance Operations Team,SR_Req_0935170,19
22/03/2023,24/03/2023,1,FALSE,FALSE,Require Neither,,2.141666667,Closed Complete,24/03/2023,22/03/2023,Procurement Operations Team,SR_Req_0935174,3
22/03/2023,28/03/2023,1,FALSE,FALSE,Require Neither,,5.9875,Closed Complete,28/03/2023,22/03/2023,Finance Operations Team,SR_Req_0935216,5
22/03/2023,29/03/2023,1,FALSE,FALSE,Require Neither,,7.153472222,Closed Complete,29/03/2023,22/03/2023,Finance Operations Team,SR_Req_0935309,6
22/03/2023,21/04/2023,1,FALSE,FALSE,Require Neither,,29.86458333,Closed Complete,21/04/2023,22/03/2023,Finance Operations Team,SR_Req_0935330,20
22/03/2023,29/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0221677,7.033333333,Closed Complete,29/03/2023,22/03/2023,Finance Operations Team,SR_Req_0935513,6
22/03/2023,13/04/2023,1,FALSE,TRUE,Require OH&S,SubTask_0221190,22.15486111,Closed Complete,13/04/2023,22/03/2023,Finance Operations Team,SR_Req_0935586,14
22/03/2023,3/04/2023,1,FALSE,FALSE,Require Neither,,11.78472222,Closed Complete,3/04/2023,22/03/2023,Finance Operations Team,SR_Req_0935599,9
22/03/2023,28/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0221200,5.756944444,Closed Complete,28/03/2023,22/03/2023,Finance Operations Team,SR_Req_0935616,5
23/03/2023,29/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0221226,6.332638889,Closed Complete,29/03/2023,23/03/2023,Finance Operations Team,SR_Req_0935729,5
23/03/2023,3/04/2023,1,TRUE,TRUE,Require Both,"SubTask_0221479, SubTask_0221478",10.73819444,Closed Complete,3/04/2023,23/03/2023,Finance Operations Team,SR_Req_0936299,8
23/03/2023,5/04/2023,1,FALSE,FALSE,Require Neither,,12.75208333,Closed Complete,5/04/2023,23/03/2023,Finance Operations Team,SR_Req_0936334,10
24/03/2023,24/03/2023,1,TRUE,FALSE,Require CSR,SubTask_0221513,0.313194444,Closed Complete,24/03/2023,24/03/2023,Procurement Operations Team,SR_Req_0936409,1
24/03/2023,24/05/2023,1,FALSE,TRUE,Require OH&S,SubTask_0221630,61.10902778,Closed Complete,24/05/2023,24/03/2023,Finance Operations Team,SR_Req_0936665,40
25/03/2023,28/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0221681,34.3875,Closed Complete,28/04/2023,25/03/2023,Finance Operations Team,SR_Req_0936890,21
25/03/2023,28/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0221687,33.80694444,Closed Complete,28/04/2023,25/03/2023,Finance Operations Team,SR_Req_0936906,21
27/03/2023,5/06/2023,1,TRUE,FALSE,Require CSR,"SubTask_0221692, SubTask_0222800",70.72083333,Closed Complete,5/06/2023,27/03/2023,Finance Operations Team,SR_Req_0936952,47
27/03/2023,30/03/2023,1,FALSE,FALSE,Require Neither,,3.291666667,Closed Complete,30/03/2023,27/03/2023,Procurement Operations Team,SR_Req_0936960,4
27/03/2023,17/04/2023,1,FALSE,FALSE,Require Neither,,20.98472222,Closed Complete,17/04/2023,27/03/2023,Finance Operations Team,SR_Req_0937105,13
27/03/2023,16/05/2023,1,TRUE,FALSE,Require CSR,"SubTask_0221749, SubTask_0223258",50.34375,Closed Incomplete,16/05/2023,27/03/2023,Procurement Operations Team,SR_Req_0937114,33
27/03/2023,5/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0221792,9.105555556,Closed Complete,5/04/2023,27/03/2023,Finance Operations Team,SR_Req_0937257,8
27/03/2023,28/04/2023,1,FALSE,FALSE,Require Neither,,31.74375,Closed Complete,28/04/2023,27/03/2023,Finance Operations Team,SR_Req_0937603,21
27/03/2023,4/05/2023,1,TRUE,FALSE,Require CSR,SubTask_0221891,37.73611111,Closed Complete,4/05/2023,27/03/2023,Finance Operations Team,SR_Req_0937622,25
28/03/2023,6/04/2023,1,FALSE,FALSE,Require Neither,SubTask_0222415,9.236805556,Closed Complete,6/04/2023,28/03/2023,Finance Operations Team,SR_Req_0937700,8
28/03/2023,17/04/2023,1,FALSE,FALSE,Require Neither,,19.99375,Closed Complete,17/04/2023,28/03/2023,Finance Operations Team,SR_Req_0937777,12
28/03/2023,14/04/2023,1,FALSE,FALSE,Require Neither,,16.93263889,Closed Complete,14/04/2023,28/03/2023,Finance Operations Team,SR_Req_0937852,11
28/03/2023,14/04/2023,1,FALSE,FALSE,Require Neither,,16.88680556,Closed Complete,14/04/2023,28/03/2023,Finance Operations Team,SR_Req_0937936,11
28/03/2023,13/04/2023,1,FALSE,FALSE,Require Neither,,16.16597222,Closed Complete,13/04/2023,28/03/2023,Finance Operations Team,SR_Req_0938192,10
28/03/2023,4/04/2023,1,FALSE,FALSE,Require Neither,,6.8,Closed Incomplete,4/04/2023,28/03/2023,Procurement Operations Team,SR_Req_0938200,6
28/03/2023,23/05/2023,1,TRUE,FALSE,Require CSR,"SubTask_0222086, SubTask_0222414",55.68958333,Closed Complete,23/05/2023,28/03/2023,Finance Operations Team,SR_Req_0938241,37
28/03/2023,13/04/2023,1,FALSE,FALSE,Require Neither,SubTask_0222397,16.12847222,Closed Complete,13/04/2023,28/03/2023,Finance Operations Team,SR_Req_0938248,10
28/03/2023,21/04/2023,1,FALSE,FALSE,Require Neither,,23.54583333,Closed Complete,21/04/2023,28/03/2023,Finance Operations Team,SR_Req_0938314,16
29/03/2023,26/04/2023,1,FALSE,FALSE,Require Neither,,27.97013889,Closed Complete,26/04/2023,29/03/2023,Finance Operations Team,SR_Req_0938501,17
29/03/2023,3/04/2023,1,TRUE,FALSE,Require CSR,SubTask_0222188,4.9125,Closed Complete,3/04/2023,29/03/2023,Finance Operations Team,SR_Req_0938616,4
29/03/2023,15/05/2023,1,FALSE,FALSE,Require Neither,,46.80902778,Closed Complete,15/05/2023,29/03/2023,Finance Operations Team,SR_Req_0938716,30
29/03/2023,30/03/2023,1,FALSE,FALSE,Require Neither,,0.084722222,Closed Complete,30/03/2023,29/03/2023,Procurement Operations Team,SR_Req_0938878,2
29/03/2023,20/04/2023,1,TRUE,FALSE,Require CSR,"SubTask_0222271, SubTask_0222960",21.82152778,Closed Complete,20/04/2023,29/03/2023,Finance Operations Team,SR_Req_0939303,14
29/03/2023,5/05/2023,1,TRUE,FALSE,Require CSR,"SubTask_0222272, SubTask_0222695",36.6,Closed Complete,5/05/2023,29/03/2023,Finance Operations Team,SR_Req_0939519,24
