sys_created_on,opened_at,closed_at,Assigned to,assignment_group,business_duration,Closed_by,number,Opened_by,Request,state,sys_updated_on,approval,Working_Turn_Around_Days
2/03/2023,2/03/2023,2/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0218156,,SR_Req_0925331,Closed Complete,2/03/2023,Not Yet Requested,1
2/03/2023,2/03/2023,2/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0218189,,SR_Req_0925456,Closed Complete,2/03/2023,Not Yet Requested,1
2/03/2023,2/03/2023,3/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0218278,,SR_Req_0925650,Closed Complete,3/03/2023,Not Yet Requested,2
3/03/2023,3/03/2023,3/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0218344,,SR_Req_0925902,Closed Complete,3/03/2023,Not Yet Requested,1
3/03/2023,3/03/2023,3/04/2023,HR Officer #1,OH&S Team,168.6166667,Procurement Specialist #4,SubTask_0218360,,SR_Req_0925936,Closed Complete,3/04/2023,Approved,21
3/03/2023,3/03/2023,7/03/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0218446,,SR_Req_0926136,Closed Complete,7/03/2023,Not Yet Requested,3
4/03/2023,4/03/2023,7/03/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0218579,,SR_Req_0926547,Closed Complete,7/03/2023,Not Yet Requested,2
6/03/2023,6/03/2023,7/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0218897,,SR_Req_0927463,Closed Complete,7/03/2023,Not Yet Requested,2
6/03/2023,6/03/2023,7/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0218908,,SR_Req_0927586,Closed Complete,7/03/2023,Not Yet Requested,2
7/03/2023,7/03/2023,8/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0219154,Procurement Specialist #4,SR_Req_0925331,Closed Complete,8/03/2023,Not Yet Requested,2
7/03/2023,7/03/2023,8/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0219157,Procurement Specialist #4,SR_Req_0925456,Closed Complete,8/03/2023,Not Yet Requested,2
7/03/2023,7/03/2023,20/03/2023,Procurement Specialist #4,Procurement Operations Team,71.31666667,Procurement Specialist #4,SubTask_0219159,Procurement Specialist #4,SR_Req_0924721,Closed Complete,20/03/2023,Not Yet Requested,9
7/03/2023,7/03/2023,6/04/2023,HR Officer #1,OH&S Team,176,Procurement Specialist #4,SubTask_0219163,,SR_Req_0928375,Closed Complete,6/04/2023,Rejected,22
7/03/2023,7/03/2023,10/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0219164,,SR_Req_0928375,Closed Complete,10/03/2023,Not Yet Requested,4
8/03/2023,8/03/2023,10/03/2023,Procurement Specialist #4,Procurement Operations Team,13,Procurement Specialist #4,SubTask_0219378,,SR_Req_0928970,Closed Complete,10/03/2023,Not Yet Requested,3
8/03/2023,8/03/2023,14/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Category Manager #3,SubTask_0219390,Procurement Specialist #4,SR_Req_0926547,Closed Complete,20/03/2023,Not Yet Requested,4
9/03/2023,9/03/2023,10/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0219510,,SR_Req_0929609,Closed Complete,10/03/2023,Not Yet Requested,2
9/03/2023,9/03/2023,20/03/2023,HR Officer #6,OH&S Team,56,Procurement Specialist #4,SubTask_0219520,,SR_Req_0929666,Closed Complete,20/03/2023,Approved,7
9/03/2023,9/03/2023,10/03/2023,Procurement Specialist #4,Procurement Operations Team,5.166666667,Procurement Specialist #4,SubTask_0219521,,SR_Req_0929666,Closed Complete,10/03/2023,Not Yet Requested,2
9/03/2023,9/03/2023,10/03/2023,Procurement Specialist #4,Procurement Operations Team,5.266666667,Procurement Specialist #4,SubTask_0219544,,SR_Req_0929767,Closed Complete,10/03/2023,Not Yet Requested,2
10/03/2023,10/03/2023,10/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0219646,,SR_Req_0930092,Closed Complete,10/03/2023,Not Yet Requested,1
14/03/2023,14/03/2023,23/03/2023,HR Officer #6,OH&S Team,56,Procurement Specialist #4,SubTask_0219799,,SR_Req_0930877,Closed Complete,23/03/2023,Rejected,8
14/03/2023,14/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.316666667,Procurement Specialist #3,SubTask_0219810,,SR_Req_0930940,Closed Complete,23/03/2023,Not Yet Requested,5
14/03/2023,14/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.633333333,Procurement Specialist #3,SubTask_0219814,,SR_Req_0930958,Closed Complete,20/03/2023,Not Yet Requested,5
14/03/2023,14/03/2023,17/03/2023,Procurement Specialist #3,Procurement Operations Team,0,Procurement Specialist #3,SubTask_0219824,,SR_Req_0931062,Closed Complete,17/03/2023,Not Yet Requested,4
14/03/2023,14/03/2023,17/03/2023,Procurement Specialist #6,Procurement Operations Team,0,Procurement Specialist #6,SubTask_0219848,,SR_Req_0931212,Closed Complete,17/03/2023,Not Yet Requested,4
14/03/2023,14/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.666666667,Procurement Specialist #3,SubTask_0219853,,SR_Req_0931234,Closed Complete,20/03/2023,Not Yet Requested,5
14/03/2023,14/03/2023,6/04/2023,HR Officer #1,OH&S Team,136,Procurement Specialist #4,SubTask_0219868,,SR_Req_0931299,Closed Complete,6/04/2023,Rejected,18
14/03/2023,14/03/2023,17/03/2023,Procurement Specialist #6,Procurement Operations Team,0,Procurement Specialist #6,SubTask_0219871,,SR_Req_0931308,Closed Complete,17/03/2023,Not Yet Requested,4
14/03/2023,14/03/2023,17/03/2023,Procurement Specialist #6,Procurement Operations Team,0,Procurement Specialist #6,SubTask_0219872,,SR_Req_0931310,Closed Complete,17/03/2023,Not Yet Requested,4
14/03/2023,14/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.45,Procurement Specialist #3,SubTask_0219873,,SR_Req_0931312,Closed Complete,20/03/2023,Not Yet Requested,5
14/03/2023,14/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.35,Procurement Specialist #3,SubTask_0219880,,SR_Req_0931376,Closed Complete,28/03/2023,Not Yet Requested,5
14/03/2023,14/03/2023,17/03/2023,Procurement Specialist #6,Procurement Operations Team,23.66666667,Procurement Specialist #6,SubTask_0219881,,SR_Req_0931378,Closed Complete,17/03/2023,Not Yet Requested,4
15/03/2023,15/03/2023,27/03/2023,HR Officer #3,OH&S Team,64,Procurement Specialist #3,SubTask_0220023,,SR_Req_0931859,Closed Complete,27/03/2023,Approved,9
16/03/2023,16/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,16.4,Procurement Specialist #3,SubTask_0220196,,SR_Req_0932234,Closed Complete,20/03/2023,Not Yet Requested,3
16/03/2023,16/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,15.23333333,Procurement Specialist #3,SubTask_0220279,,SR_Req_0932410,Closed Complete,20/03/2023,Not Yet Requested,3
16/03/2023,16/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,15.43333333,Procurement Specialist #3,SubTask_0220281,,SR_Req_0932414,Closed Complete,28/03/2023,Not Yet Requested,3
17/03/2023,17/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.833333333,Procurement Specialist #3,SubTask_0220432,,SR_Req_0933029,Closed Complete,20/03/2023,Not Yet Requested,2
17/03/2023,17/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.6,Procurement Specialist #3,SubTask_0220530,,SR_Req_0933388,Closed Complete,20/03/2023,Not Yet Requested,2
17/03/2023,17/03/2023,24/03/2023,HR Officer #6,OH&S Team,14.73333333,Procurement Specialist #4,SubTask_0220567,,SR_Req_0933419,Closed Complete,24/03/2023,Rejected,6
17/03/2023,17/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.283333333,Procurement Specialist #3,SubTask_0220573,,SR_Req_0933497,Closed Complete,20/03/2023,Not Yet Requested,2
19/03/2023,19/03/2023,20/03/2023,Procurement Specialist #3,Procurement Operations Team,7.383333333,Procurement Specialist #3,SubTask_0220574,,SR_Req_0933569,Closed Complete,23/03/2023,Not Yet Requested,1
20/03/2023,20/03/2023,21/03/2023,Category Manager #1,Category Management Team,8,Procurement Specialist #4,SubTask_0220742,Procurement Specialist #4,SR_Req_0926136,Closed Complete,21/03/2023,Not Yet Requested,2
20/03/2023,20/03/2023,27/03/2023,Category Manager #3,Category Management Team,16,Procurement Specialist #4,SubTask_0220765,Procurement Specialist #4,SR_Req_0933388,Closed Complete,27/03/2023,Not Yet Requested,6
21/03/2023,21/03/2023,21/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0220929,,SR_Req_0934562,Closed Complete,21/03/2023,Not Yet Requested,1
21/03/2023,21/03/2023,28/04/2023,HR Officer #6,OH&S Team,224,Procurement Specialist #4,SubTask_0220941,,SR_Req_0934592,Closed Complete,28/04/2023,Rejected,25
21/03/2023,21/03/2023,21/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0220961,,SR_Req_0934670,Closed Complete,21/03/2023,Not Yet Requested,1
21/03/2023,21/03/2023,29/03/2023,Procurement Specialist #4,Procurement Operations Team,48,Procurement Specialist #4,SubTask_0220967,,SR_Req_0934720,Closed Complete,29/03/2023,Not Yet Requested,7
21/03/2023,21/03/2023,23/03/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0220969,,SR_Req_0934761,Closed Complete,23/03/2023,Not Yet Requested,3
21/03/2023,21/03/2023,6/04/2023,HR Officer #6,OH&S Team,96,Procurement Specialist #4,SubTask_0220978,,SR_Req_0934831,Closed Complete,6/04/2023,Rejected,13
21/03/2023,21/03/2023,21/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0220979,,SR_Req_0934831,Closed Complete,21/03/2023,Not Yet Requested,1
21/03/2023,21/03/2023,22/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0220996,,SR_Req_0934894,Closed Complete,22/03/2023,Not Yet Requested,2
22/03/2023,22/03/2023,6/04/2023,Category Manager #3,Category Management Team,91.38333333,Procurement Specialist #4,SubTask_0221044,Procurement Specialist #4,SR_Req_0929767,Closed Complete,6/04/2023,Not Yet Requested,12
22/03/2023,22/03/2023,22/03/2023,Procurement Specialist #4,Procurement Operations Team,0.233333333,Procurement Specialist #4,SubTask_0221087,,SR_Req_0935102,Closed Complete,22/03/2023,Not Yet Requested,1
22/03/2023,22/03/2023,24/03/2023,Procurement Specialist #4,Procurement Operations Team,15.58333333,Procurement Specialist #4,SubTask_0221096,,SR_Req_0935170,Closed Complete,24/03/2023,Not Yet Requested,3
22/03/2023,22/03/2023,23/03/2023,HR Officer #6,OH&S Team,8,Procurement Specialist #4,SubTask_0221190,,SR_Req_0935586,Closed Complete,23/03/2023,Approved,2
22/03/2023,22/03/2023,23/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0221200,,SR_Req_0935616,Closed Complete,23/03/2023,Not Yet Requested,2
23/03/2023,23/03/2023,23/03/2023,Procurement Specialist #4,Procurement Operations Team,2.816666667,Procurement Specialist #4,SubTask_0221226,,SR_Req_0935729,Closed Complete,23/03/2023,Not Yet Requested,1
23/03/2023,23/03/2023,30/03/2023,Category Manager #6,Category Management Team,16,Category Manager #6,SubTask_0221313,Procurement Specialist #4,SR_Req_0934761,Closed Complete,30/03/2023,Not Yet Requested,6
23/03/2023,23/03/2023,4/04/2023,Category Manager #3,Category Management Team,64,Procurement Specialist #4,SubTask_0221319,Procurement Specialist #4,SR_Req_0934357,Closed Complete,4/04/2023,Not Yet Requested,9
23/03/2023,23/03/2023,4/04/2023,Category Manager #3,Category Management Team,64,Procurement Specialist #4,SubTask_0221448,Procurement Specialist #4,SR_Req_0934720,Closed Complete,4/04/2023,Not Yet Requested,9
23/03/2023,23/03/2023,30/03/2023,HR Officer #6,OH&S Team,14.38333333,Procurement Specialist #4,SubTask_0221478,,SR_Req_0936299,Closed Complete,30/03/2023,Approved,6
23/03/2023,23/03/2023,23/03/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0221479,,SR_Req_0936299,Closed Complete,23/03/2023,Not Yet Requested,1
23/03/2023,23/03/2023,24/03/2023,Category Manager #2,Category Management Team,7.816666667,Category Manager #2,SubTask_0221476,Procurement Specialist #4,SR_Req_0934894,Closed Complete,27/03/2023,Not Yet Requested,2
23/03/2023,23/03/2023,2/05/2023,Category Manager #3,Category Management Team,224,Procurement Specialist #4,SubTask_0221483,Procurement Specialist #4,SR_Req_0930940,Closed Complete,2/05/2023,Not Yet Requested,25
24/03/2023,24/03/2023,24/03/2023,Procurement Specialist #4,Procurement Operations Team,0.316666667,Procurement Specialist #4,SubTask_0221513,,SR_Req_0936409,Closed Complete,24/03/2023,Not Yet Requested,1
24/03/2023,24/03/2023,4/05/2023,HR Officer #6,OH&S Team,232,Procurement Specialist #4,SubTask_0221630,,SR_Req_0936665,Closed Complete,10/05/2023,Rejected,26
24/03/2023,24/03/2023,28/03/2023,Procurement Specialist #4,Procurement Operations Team,13.63333333,Procurement Specialist #4,SubTask_0221677,Procurement Specialist #4,SR_Req_0935513,Closed Complete,28/03/2023,Not Yet Requested,3
25/03/2023,25/03/2023,17/04/2023,Procurement Specialist #4,Procurement Operations Team,128,Procurement Specialist #4,SubTask_0221681,,SR_Req_0936890,Closed Complete,17/04/2023,Not Yet Requested,13
25/03/2023,25/03/2023,28/03/2023,Procurement Specialist #4,Procurement Operations Team,13.48333333,Procurement Specialist #4,SubTask_0221687,,SR_Req_0936906,Closed Complete,28/03/2023,Not Yet Requested,2
27/03/2023,27/03/2023,28/03/2023,Procurement Specialist #4,Procurement Operations Team,14.25,Procurement Specialist #4,SubTask_0221692,,SR_Req_0936952,Closed Complete,28/03/2023,Not Yet Requested,2
27/03/2023,27/03/2023,28/03/2023,Procurement Specialist #4,Procurement Operations Team,8.666666667,Procurement Specialist #4,SubTask_0221749,,SR_Req_0937114,Closed Complete,28/03/2023,Not Yet Requested,2
27/03/2023,27/03/2023,28/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0221792,,SR_Req_0937257,Closed Complete,30/03/2023,Not Yet Requested,2
27/03/2023,27/03/2023,2/05/2023,Procurement Specialist #4,Procurement Operations Team,208,Procurement Specialist #4,SubTask_0221891,,SR_Req_0937622,Closed Complete,2/05/2023,Not Yet Requested,23
28/03/2023,28/03/2023,30/03/2023,Category Manager #1,Category Management Team,19.23333333,Procurement Specialist #4,SubTask_0221896,Procurement Specialist #4,SR_Req_0927586,Closed Complete,30/03/2023,Not Yet Requested,3
28/03/2023,28/03/2023,29/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0222086,,SR_Req_0938241,Closed Complete,29/03/2023,Not Yet Requested,2
29/03/2023,29/03/2023,29/03/2023,Procurement Specialist #3,Procurement Operations Team,0,Procurement Specialist #3,SubTask_0222188,,SR_Req_0938616,Closed Complete,29/03/2023,Not Yet Requested,1
29/03/2023,29/03/2023,6/04/2023,Procurement Specialist #4,Procurement Operations Team,48,Procurement Specialist #4,SubTask_0222271,,SR_Req_0939303,Closed Complete,6/04/2023,Not Yet Requested,7
29/03/2023,29/03/2023,31/03/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0222272,,SR_Req_0939519,Closed Complete,31/03/2023,Not Yet Requested,3
30/03/2023,30/03/2023,30/03/2023,Category Manager #2,Category Management Team,0,Procurement Specialist #4,SubTask_0222344,Procurement Specialist #4,SR_Req_0935170,Closed Complete,5/04/2023,Not Yet Requested,1
30/03/2023,30/03/2023,31/03/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0222350,,SR_Req_0939811,Closed Complete,31/03/2023,Not Yet Requested,2
30/03/2023,30/03/2023,3/04/2023,Category Manager #2,Category Management Team,16,Procurement Specialist #4,SubTask_0222397,Procurement Specialist #4,SR_Req_0938248,Closed Complete,3/04/2023,Not Yet Requested,3
30/03/2023,30/03/2023,27/04/2023,HR Officer #6,OH&S Team,160,Procurement Specialist #4,SubTask_0222399,,SR_Req_0939979,Closed Complete,27/04/2023,Rejected,17
30/03/2023,30/03/2023,4/04/2023,Category Manager #1,Category Management Team,0,Procurement Specialist #4,SubTask_0222414,Procurement Specialist #4,SR_Req_0938241,Closed Complete,4/04/2023,Not Yet Requested,4
30/03/2023,30/03/2023,31/03/2023,Category Manager #2,Category Management Team,8,Procurement Specialist #4,SubTask_0222415,Procurement Specialist #4,SR_Req_0937700,Closed Complete,31/03/2023,Not Yet Requested,2
31/03/2023,31/03/2023,4/04/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0222472,,SR_Req_0940971,Closed Complete,4/04/2023,Not Yet Requested,3
31/03/2023,31/03/2023,4/04/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0222477,,SR_Req_0941016,Closed Complete,4/04/2023,Not Yet Requested,3
31/03/2023,31/03/2023,6/04/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0222485,,SR_Req_0941072,Closed Complete,6/04/2023,Not Yet Requested,5
31/03/2023,31/03/2023,4/04/2023,Category Manager #3,Category Management Team,16,Procurement Specialist #4,SubTask_0222493,Procurement Specialist #4,SR_Req_0939811,Closed Complete,4/04/2023,Not Yet Requested,3
31/03/2023,31/03/2023,4/04/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0222539,,SR_Req_0941239,Closed Complete,4/04/2023,Not Yet Requested,3
2/04/2023,2/04/2023,6/04/2023,HR Officer #6,OH&S Team,8,Procurement Specialist #4,SubTask_0222542,,SR_Req_0941326,Closed Complete,6/04/2023,Rejected,4
3/04/2023,3/04/2023,4/04/2023,Procurement Specialist #4,Procurement Operations Team,9.3,Procurement Specialist #4,SubTask_0222570,,SR_Req_0941404,Closed Complete,4/04/2023,Not Yet Requested,2
3/04/2023,3/04/2023,24/05/2023,Procurement Specialist #4,Procurement Operations Team,297.15,Procurement Specialist #4,SubTask_0222573,,SR_Req_0941412,Closed Complete,24/05/2023,Not Yet Requested,34
3/04/2023,3/04/2023,4/04/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0222621,,SR_Req_0941608,Closed Complete,4/04/2023,Not Yet Requested,2
3/04/2023,3/04/2023,5/04/2023,Category Manager #1,Category Management Team,16,Procurement Specialist #4,SubTask_0222695,Procurement Specialist #4,SR_Req_0939519,Closed Complete,5/04/2023,Not Yet Requested,3
4/04/2023,4/04/2023,26/05/2023,Procurement Specialist #3,Procurement Operations Team,304.2333333,Procurement Specialist #3,SubTask_0222736,,SR_Req_0942071,Closed Complete,26/05/2023,Not Yet Requested,35
4/04/2023,4/04/2023,6/04/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0222781,,SR_Req_0942242,Closed Complete,6/04/2023,Not Yet Requested,3
4/04/2023,4/04/2023,17/04/2023,Category Manager #1,Category Management Team,72,Procurement Specialist #4,SubTask_0222800,Procurement Specialist #4,SR_Req_0936952,Closed Complete,17/04/2023,Not Yet Requested,7
4/04/2023,4/04/2023,24/05/2023,Procurement Specialist #4,Procurement Operations Team,288,Procurement Specialist #4,SubTask_0222890,,SR_Req_0942534,Closed Complete,24/05/2023,Not Yet Requested,33
4/04/2023,4/04/2023,6/04/2023,Procurement Specialist #4,Procurement Operations Team,16,Procurement Specialist #4,SubTask_0222891,,SR_Req_0942554,Closed Complete,6/04/2023,Not Yet Requested,3
5/04/2023,5/04/2023,6/04/2023,Procurement Specialist #4,Procurement Operations Team,14.96666667,Procurement Specialist #4,SubTask_0222897,,SR_Req_0942610,Closed Complete,6/04/2023,Not Yet Requested,2
5/04/2023,5/04/2023,5/04/2023,Category Manager #1,Category Management Team,0,Procurement Specialist #4,SubTask_0222960,Procurement Specialist #4,SR_Req_0939303,Closed Complete,5/04/2023,Not Yet Requested,1
5/04/2023,5/04/2023,6/04/2023,Procurement Specialist #4,Procurement Operations Team,8,Procurement Specialist #4,SubTask_0222974,,SR_Req_0942776,Closed Complete,6/04/2023,Not Yet Requested,2
5/04/2023,5/04/2023,5/04/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0223037,,SR_Req_0942975,Closed Complete,5/04/2023,Not Yet Requested,1
5/04/2023,5/04/2023,24/04/2023,Category Manager #2,Category Management Team,104,Procurement Specialist #4,SubTask_0223132,Procurement Specialist #4,SR_Req_0933569,Closed Complete,24/04/2023,Not Yet Requested,11
5/04/2023,5/04/2023,6/04/2023,Category Manager #2,Category Management Team,8,Procurement Specialist #4,SubTask_0223133,Procurement Specialist #4,SR_Req_0941326,Closed Complete,6/04/2023,Not Yet Requested,2
6/04/2023,6/04/2023,21/04/2023,Procurement Specialist #4,Procurement Operations Team,88,Procurement Specialist #4,SubTask_0223173,,SR_Req_0943340,Closed Complete,21/04/2023,Not Yet Requested,9
6/04/2023,6/04/2023,6/04/2023,Procurement Specialist #4,Procurement Operations Team,0,Procurement Specialist #4,SubTask_0223219,,SR_Req_0943540,Closed Complete,6/04/2023,Not Yet Requested,1
6/04/2023,6/04/2023,26/05/2023,Procurement Specialist #3,Procurement Operations Team,288,Procurement Specialist #3,SubTask_0223248,Procurement Specialist #4,SR_Req_0941412,Closed Complete,26/05/2023,Not Yet Requested,33
6/04/2023,6/04/2023,16/05/2023,Procurement Specialist #4,Procurement Operations Team,224,Procurement Specialist #4,SubTask_0223258,Procurement Specialist #4,SR_Req_0937114,Closed Complete,16/05/2023,Not Yet Requested,25
6/04/2023,6/04/2023,24/04/2023,Category Manager #2,Category Management Team,96,Procurement Specialist #4,SubTask_0223262,Procurement Specialist #4,SR_Req_0942242,Closed Complete,24/04/2023,Not Yet Requested,10
