request_number,department1,opened_date,request_closed,request_state,task_number,department2,task_status,task_closed,approval_status,complexity_risk
SR_Req_0925247,Procurement Operations Team,2/03/2023,25/05/2023,Closed Incomplete,SubTask_0218117,OH&S Team,Closed Complete,6/05/2024,Approved,Medium Risk
SR_Req_0925331,Finance Operations Team,2/03/2023,24/03/2023,Closed Complete,SubTask_0218155,OH&S Team,Closed Complete,24/03/2023,Approved,High Risk
SR_Req_0925331,Finance Operations Team,2/03/2023,24/03/2023,Closed Complete,SubTask_0218156,Procurement Operations Team,Closed Complete,2/03/2023,Not Yet Requested,High Risk
SR_Req_0925456,Finance Operations Team,2/03/2023,10/03/2023,Closed Complete,SubTask_0218189,Procurement Operations Team,Closed Complete,2/03/2023,Not Yet Requested,Medium Risk
SR_Req_0925650,Finance Operations Team,2/03/2023,8/03/2023,Closed Complete,SubTask_0218278,Procurement Operations Team,Closed Complete,3/03/2023,Not Yet Requested,Medium Risk
SR_Req_0925902,Finance Operations Team,3/03/2023,9/03/2023,Closed Complete,SubTask_0218344,Procurement Operations Team,Closed Complete,3/03/2023,Not Yet Requested,Medium Risk
SR_Req_0925936,Finance Operations Team,3/03/2023,1/05/2023,Closed Complete,SubTask_0218360,OH&S Team,Closed Complete,3/04/2023,Approved,Medium Risk
SR_Req_0926136,Finance Operations Team,3/03/2023,24/03/2023,Closed Complete,SubTask_0218446,Procurement Operations Team,Closed Complete,7/03/2023,Not Yet Requested,Medium Risk
SR_Req_0926547,Finance Operations Team,4/03/2023,22/03/2023,Closed Complete,SubTask_0218579,Procurement Operations Team,Closed Complete,7/03/2023,Not Yet Requested,Medium Risk
SR_Req_0927463,Finance Operations Team,6/03/2023,29/03/2023,Closed Complete,SubTask_0218897,Procurement Operations Team,Closed Complete,7/03/2023,Not Yet Requested,Medium Risk
SR_Req_0927586,Finance Operations Team,6/03/2023,13/04/2023,Closed Complete,SubTask_0218908,Procurement Operations Team,Closed Complete,7/03/2023,Not Yet Requested,Medium Risk
SR_Req_0925331,Finance Operations Team,2/03/2023,24/03/2023,Closed Complete,SubTask_0219154,Procurement Operations Team,Closed Complete,8/03/2023,Not Yet Requested,High Risk
SR_Req_0925456,Finance Operations Team,2/03/2023,10/03/2023,Closed Complete,SubTask_0219157,Procurement Operations Team,Closed Complete,8/03/2023,Not Yet Requested,Medium Risk
SR_Req_0924721,Finance Operations Team,1/03/2023,22/03/2023,Closed Complete,SubTask_0219159,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0928375,Finance Operations Team,7/03/2023,26/04/2023,Closed Complete,SubTask_0219163,OH&S Team,Closed Complete,6/04/2023,Rejected,High Risk
SR_Req_0928375,Finance Operations Team,7/03/2023,26/04/2023,Closed Complete,SubTask_0219164,Procurement Operations Team,Closed Complete,10/03/2023,Not Yet Requested,High Risk
SR_Req_0928970,Finance Operations Team,8/03/2023,24/03/2023,Closed Complete,SubTask_0219378,Procurement Operations Team,Closed Complete,10/03/2023,Not Yet Requested,Medium Risk
SR_Req_0926547,Finance Operations Team,4/03/2023,22/03/2023,Closed Complete,SubTask_0219390,Procurement Operations Team,Closed Complete,14/03/2023,Not Yet Requested,Medium Risk
SR_Req_0929609,Finance Operations Team,9/03/2023,21/04/2023,Closed Complete,SubTask_0219510,Procurement Operations Team,Closed Complete,10/03/2023,Not Yet Requested,Medium Risk
SR_Req_0929666,Procurement Operations Team,9/03/2023,29/05/2023,Closed Incomplete,SubTask_0219520,OH&S Team,Closed Complete,20/03/2023,Approved,High Risk
SR_Req_0929666,Procurement Operations Team,9/03/2023,29/05/2023,Closed Incomplete,SubTask_0219521,Procurement Operations Team,Closed Complete,10/03/2023,Not Yet Requested,High Risk
SR_Req_0929767,Procurement Operations Team,9/03/2023,6/04/2023,Closed Incomplete,SubTask_0219544,Procurement Operations Team,Closed Complete,10/03/2023,Not Yet Requested,Medium Risk
SR_Req_0930092,Finance Operations Team,10/03/2023,22/03/2023,Closed Complete,SubTask_0219646,Procurement Operations Team,Closed Complete,10/03/2023,Not Yet Requested,Medium Risk
SR_Req_0930877,Procurement Operations Team,14/03/2023,23/03/2023,Closed Complete,SubTask_0219799,OH&S Team,Closed Complete,23/03/2023,Rejected,Medium Risk
SR_Req_0930940,Finance Operations Team,14/03/2023,12/05/2023,Closed Complete,SubTask_0219810,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0930958,Finance Operations Team,14/03/2023,3/04/2023,Closed Complete,SubTask_0219814,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931062,Finance Operations Team,14/03/2023,21/03/2023,Closed Complete,SubTask_0219824,Procurement Operations Team,Closed Complete,17/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931212,Procurement Operations Team,14/03/2023,17/03/2023,Closed Complete,SubTask_0219848,Procurement Operations Team,Closed Complete,17/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931234,Procurement Operations Team,14/03/2023,4/04/2023,Closed Incomplete,SubTask_0219853,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931299,Finance Operations Team,14/03/2023,17/04/2023,Closed Complete,SubTask_0219868,OH&S Team,Closed Complete,6/04/2023,Rejected,Medium Risk
SR_Req_0931308,Procurement Operations Team,14/03/2023,17/03/2023,Closed Complete,SubTask_0219871,Procurement Operations Team,Closed Complete,17/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931310,Procurement Operations Team,14/03/2023,17/03/2023,Closed Complete,SubTask_0219872,Procurement Operations Team,Closed Complete,17/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931312,Procurement Operations Team,14/03/2023,29/03/2023,Closed Incomplete,SubTask_0219873,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931376,Finance Operations Team,14/03/2023,3/04/2023,Closed Complete,SubTask_0219880,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931378,Procurement Operations Team,14/03/2023,17/03/2023,Closed Complete,SubTask_0219881,Procurement Operations Team,Closed Complete,17/03/2023,Not Yet Requested,Medium Risk
SR_Req_0931859,Finance Operations Team,15/03/2023,20/04/2023,Closed Complete,SubTask_0220023,OH&S Team,Closed Complete,27/03/2023,Approved,Medium Risk
SR_Req_0932234,Finance Operations Team,16/03/2023,29/03/2023,Closed Complete,SubTask_0220196,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0932410,Finance Operations Team,16/03/2023,29/03/2023,Closed Complete,SubTask_0220279,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0932414,Finance Operations Team,16/03/2023,3/04/2023,Closed Complete,SubTask_0220281,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0933029,Procurement Operations Team,17/03/2023,31/03/2023,Closed Incomplete,SubTask_0220432,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0933388,Finance Operations Team,17/03/2023,3/04/2023,Closed Complete,SubTask_0220530,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0933419,Finance Operations Team,17/03/2023,24/03/2023,Closed Complete,SubTask_0220567,OH&S Team,Closed Complete,24/03/2023,Rejected,Medium Risk
SR_Req_0933497,Finance Operations Team,17/03/2023,29/03/2023,Closed Complete,SubTask_0220573,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0933569,Finance Operations Team,19/03/2023,28/04/2023,Closed Complete,SubTask_0220574,Procurement Operations Team,Closed Complete,20/03/2023,Not Yet Requested,Medium Risk
SR_Req_0926136,Finance Operations Team,3/03/2023,24/03/2023,Closed Complete,SubTask_0220742,Category Management Team,Closed Complete,21/03/2023,Not Yet Requested,Medium Risk
SR_Req_0933388,Finance Operations Team,17/03/2023,3/04/2023,Closed Complete,SubTask_0220765,Category Management Team,Closed Complete,27/03/2023,Not Yet Requested,Medium Risk
SR_Req_0934562,Finance Operations Team,21/03/2023,12/05/2023,Closed Complete,SubTask_0220929,Procurement Operations Team,Closed Complete,21/03/2023,Not Yet Requested,Medium Risk
SR_Req_0934592,Finance Operations Team,21/03/2023,28/04/2023,Closed Complete,SubTask_0220941,OH&S Team,Closed Complete,28/04/2023,Rejected,Medium Risk
SR_Req_0934670,Finance Operations Team,21/03/2023,24/03/2023,Closed Complete,SubTask_0220961,Procurement Operations Team,Closed Complete,21/03/2023,Not Yet Requested,Medium Risk
SR_Req_0934720,Finance Operations Team,21/03/2023,13/04/2023,Closed Complete,SubTask_0220967,Procurement Operations Team,Closed Complete,29/03/2023,Not Yet Requested,Medium Risk
SR_Req_0934761,Finance Operations Team,21/03/2023,3/04/2023,Closed Complete,SubTask_0220969,Procurement Operations Team,Closed Complete,23/03/2023,Not Yet Requested,Medium Risk
SR_Req_0934831,Finance Operations Team,21/03/2023,17/04/2023,Closed Complete,SubTask_0220978,OH&S Team,Closed Complete,6/04/2023,Rejected,High Risk
SR_Req_0934831,Finance Operations Team,21/03/2023,17/04/2023,Closed Complete,SubTask_0220979,Procurement Operations Team,Closed Complete,21/03/2023,Not Yet Requested,High Risk
SR_Req_0934894,Finance Operations Team,21/03/2023,3/05/2023,Closed Complete,SubTask_0220996,Procurement Operations Team,Closed Complete,22/03/2023,Not Yet Requested,Medium Risk
SR_Req_0929767,Procurement Operations Team,9/03/2023,6/04/2023,Closed Incomplete,SubTask_0221044,Category Management Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0935102,Finance Operations Team,22/03/2023,17/04/2023,Closed Complete,SubTask_0221087,Procurement Operations Team,Closed Complete,22/03/2023,Not Yet Requested,Medium Risk
SR_Req_0935170,Finance Operations Team,22/03/2023,20/04/2023,Closed Complete,SubTask_0221096,Procurement Operations Team,Closed Complete,24/03/2023,Not Yet Requested,Medium Risk
SR_Req_0935586,Finance Operations Team,22/03/2023,13/04/2023,Closed Complete,SubTask_0221190,OH&S Team,Closed Complete,23/03/2023,Approved,Medium Risk
SR_Req_0935616,Finance Operations Team,22/03/2023,28/03/2023,Closed Complete,SubTask_0221200,Procurement Operations Team,Closed Complete,23/03/2023,Not Yet Requested,Medium Risk
SR_Req_0935729,Finance Operations Team,23/03/2023,29/03/2023,Closed Complete,SubTask_0221226,Procurement Operations Team,Closed Complete,23/03/2023,Not Yet Requested,Medium Risk
SR_Req_0934761,Finance Operations Team,21/03/2023,3/04/2023,Closed Complete,SubTask_0221313,Category Management Team,Closed Complete,30/03/2023,Not Yet Requested,Medium Risk
SR_Req_0934357,Finance Operations Team,21/03/2023,13/04/2023,Closed Complete,SubTask_0221319,Category Management Team,Closed Complete,4/04/2023,Not Yet Requested,Low Risk
SR_Req_0934720,Finance Operations Team,21/03/2023,13/04/2023,Closed Complete,SubTask_0221448,Category Management Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0936299,Finance Operations Team,23/03/2023,3/04/2023,Closed Complete,SubTask_0221478,OH&S Team,Closed Complete,30/03/2023,Approved,High Risk
SR_Req_0936299,Finance Operations Team,23/03/2023,3/04/2023,Closed Complete,SubTask_0221479,Procurement Operations Team,Closed Complete,23/03/2023,Not Yet Requested,High Risk
SR_Req_0934894,Finance Operations Team,21/03/2023,3/05/2023,Closed Complete,SubTask_0221476,Category Management Team,Closed Complete,24/03/2023,Not Yet Requested,Medium Risk
SR_Req_0930940,Finance Operations Team,14/03/2023,12/05/2023,Closed Complete,SubTask_0221483,Category Management Team,Closed Complete,2/05/2023,Not Yet Requested,Medium Risk
SR_Req_0936409,Procurement Operations Team,24/03/2023,24/03/2023,Closed Complete,SubTask_0221513,Procurement Operations Team,Closed Complete,24/03/2023,Not Yet Requested,Medium Risk
SR_Req_0936665,Finance Operations Team,24/03/2023,24/05/2023,Closed Complete,SubTask_0221630,OH&S Team,Closed Complete,4/05/2023,Rejected,Medium Risk
SR_Req_0935513,Finance Operations Team,22/03/2023,29/03/2023,Closed Complete,SubTask_0221677,Procurement Operations Team,Closed Complete,28/03/2023,Not Yet Requested,Medium Risk
SR_Req_0936890,Finance Operations Team,25/03/2023,28/04/2023,Closed Complete,SubTask_0221681,Procurement Operations Team,Closed Complete,17/04/2023,Not Yet Requested,Medium Risk
SR_Req_0936906,Finance Operations Team,25/03/2023,28/04/2023,Closed Complete,SubTask_0221687,Procurement Operations Team,Closed Complete,28/03/2023,Not Yet Requested,Medium Risk
SR_Req_0936952,Finance Operations Team,27/03/2023,5/06/2023,Closed Complete,SubTask_0221692,Procurement Operations Team,Closed Complete,28/03/2023,Not Yet Requested,Medium Risk
SR_Req_0937114,Procurement Operations Team,27/03/2023,16/05/2023,Closed Incomplete,SubTask_0221749,Procurement Operations Team,Closed Complete,28/03/2023,Not Yet Requested,Medium Risk
SR_Req_0937257,Finance Operations Team,27/03/2023,5/04/2023,Closed Complete,SubTask_0221792,Procurement Operations Team,Closed Complete,28/03/2023,Not Yet Requested,Medium Risk
SR_Req_0937622,Finance Operations Team,27/03/2023,4/05/2023,Closed Complete,SubTask_0221891,Procurement Operations Team,Closed Complete,2/05/2023,Not Yet Requested,Medium Risk
SR_Req_0927586,Finance Operations Team,6/03/2023,13/04/2023,Closed Complete,SubTask_0221896,Category Management Team,Closed Complete,30/03/2023,Not Yet Requested,Medium Risk
SR_Req_0938241,Finance Operations Team,28/03/2023,23/05/2023,Closed Complete,SubTask_0222086,Procurement Operations Team,Closed Complete,29/03/2023,Not Yet Requested,Medium Risk
SR_Req_0938616,Finance Operations Team,29/03/2023,3/04/2023,Closed Complete,SubTask_0222188,Procurement Operations Team,Closed Complete,29/03/2023,Not Yet Requested,Medium Risk
SR_Req_0939303,Finance Operations Team,29/03/2023,20/04/2023,Closed Complete,SubTask_0222271,Procurement Operations Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0939519,Finance Operations Team,29/03/2023,5/05/2023,Closed Complete,SubTask_0222272,Procurement Operations Team,Closed Complete,31/03/2023,Not Yet Requested,Medium Risk
SR_Req_0935170,Finance Operations Team,22/03/2023,20/04/2023,Closed Complete,SubTask_0222344,Category Management Team,Closed Complete,30/03/2023,Not Yet Requested,Medium Risk
SR_Req_0939811,Finance Operations Team,30/03/2023,14/04/2023,Closed Complete,SubTask_0222350,Procurement Operations Team,Closed Complete,31/03/2023,Not Yet Requested,Medium Risk
SR_Req_0938248,Finance Operations Team,28/03/2023,13/04/2023,Closed Complete,SubTask_0222397,Category Management Team,Closed Complete,3/04/2023,Not Yet Requested,Low Risk
SR_Req_0939979,Finance Operations Team,30/03/2023,27/04/2023,Closed Complete,SubTask_0222399,OH&S Team,Closed Complete,27/04/2023,Rejected,Medium Risk
SR_Req_0938241,Finance Operations Team,28/03/2023,23/05/2023,Closed Complete,SubTask_0222414,Category Management Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0937700,Finance Operations Team,28/03/2023,6/04/2023,Closed Complete,SubTask_0222415,Category Management Team,Closed Complete,31/03/2023,Not Yet Requested,Low Risk
SR_Req_0940971,Finance Operations Team,31/03/2023,27/04/2023,Closed Complete,SubTask_0222472,Procurement Operations Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941016,Finance Operations Team,31/03/2023,14/04/2023,Closed Complete,SubTask_0222477,Procurement Operations Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941072,Procurement Operations Team,31/03/2023,16/06/2023,Closed Incomplete,SubTask_0222485,Procurement Operations Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0939811,Finance Operations Team,30/03/2023,14/04/2023,Closed Complete,SubTask_0222493,Category Management Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941239,Finance Operations Team,31/03/2023,26/04/2023,Closed Complete,SubTask_0222539,Procurement Operations Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941326,Finance Operations Team,2/04/2023,20/04/2023,Closed Complete,SubTask_0222542,OH&S Team,Closed Complete,6/04/2023,Rejected,Medium Risk
SR_Req_0941404,Finance Operations Team,3/04/2023,6/07/2023,Closed Complete,SubTask_0222570,Procurement Operations Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941412,Procurement Operations Team,3/04/2023,7/07/2023,Closed Incomplete,SubTask_0222573,Procurement Operations Team,Closed Complete,24/05/2023,Not Yet Requested,Medium Risk
SR_Req_0941608,Finance Operations Team,3/04/2023,13/04/2023,Closed Complete,SubTask_0222621,Procurement Operations Team,Closed Complete,4/04/2023,Not Yet Requested,Medium Risk
SR_Req_0939519,Finance Operations Team,29/03/2023,5/05/2023,Closed Complete,SubTask_0222695,Category Management Team,Closed Complete,5/04/2023,Not Yet Requested,Medium Risk
SR_Req_0942071,Finance Operations Team,4/04/2023,31/05/2023,Closed Complete,SubTask_0222736,Procurement Operations Team,Closed Complete,26/05/2023,Not Yet Requested,Medium Risk
SR_Req_0942242,Finance Operations Team,4/04/2023,10/05/2023,Closed Complete,SubTask_0222781,Procurement Operations Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0936952,Finance Operations Team,27/03/2023,5/06/2023,Closed Complete,SubTask_0222800,Category Management Team,Closed Complete,17/04/2023,Not Yet Requested,Medium Risk
SR_Req_0942534,Finance Operations Team,4/04/2023,2/06/2023,Closed Complete,SubTask_0222890,Procurement Operations Team,Closed Complete,24/05/2023,Not Yet Requested,Medium Risk
SR_Req_0942554,Finance Operations Team,4/04/2023,9/05/2023,Closed Complete,SubTask_0222891,Procurement Operations Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0942610,Procurement Operations Team,5/04/2023,31/05/2023,Closed Incomplete,SubTask_0222897,Procurement Operations Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0939303,Finance Operations Team,29/03/2023,20/04/2023,Closed Complete,SubTask_0222960,Category Management Team,Closed Complete,5/04/2023,Not Yet Requested,Medium Risk
SR_Req_0942776,Finance Operations Team,5/04/2023,14/07/2023,Closed Incomplete,SubTask_0222974,Procurement Operations Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0942975,Finance Operations Team,5/04/2023,5/05/2023,Closed Complete,SubTask_0223037,Procurement Operations Team,Closed Complete,5/04/2023,Not Yet Requested,Medium Risk
SR_Req_0933569,Finance Operations Team,19/03/2023,28/04/2023,Closed Complete,SubTask_0223132,Category Management Team,Closed Complete,24/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941326,Finance Operations Team,2/04/2023,20/04/2023,Closed Complete,SubTask_0223133,Category Management Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0943340,Finance Operations Team,6/04/2023,30/06/2023,Closed Complete,SubTask_0223173,Procurement Operations Team,Closed Complete,21/04/2023,Not Yet Requested,Medium Risk
SR_Req_0943540,Finance Operations Team,6/04/2023,20/06/2023,Closed Complete,SubTask_0223219,Procurement Operations Team,Closed Complete,6/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941412,Procurement Operations Team,3/04/2023,7/07/2023,Closed Incomplete,SubTask_0223248,Procurement Operations Team,Closed Complete,26/05/2023,Not Yet Requested,Medium Risk
SR_Req_0937114,Procurement Operations Team,27/03/2023,16/05/2023,Closed Incomplete,SubTask_0223258,Procurement Operations Team,Closed Complete,16/05/2023,Not Yet Requested,Medium Risk
SR_Req_0942242,Finance Operations Team,4/04/2023,10/05/2023,Closed Complete,SubTask_0223262,Category Management Team,Closed Complete,24/04/2023,Not Yet Requested,Medium Risk
SR_Req_0944071,Finance Operations Team,11/04/2023,17/04/2023,Closed Complete,SubTask_0223321,Procurement Operations Team,Closed Complete,17/04/2023,Not Yet Requested,Medium Risk
SR_Req_0944413,Finance Operations Team,12/04/2023,1/05/2023,Closed Complete,SubTask_0223428,Procurement Operations Team,Closed Complete,17/04/2023,Not Yet Requested,Medium Risk
SR_Req_0944984,Finance Operations Team,13/04/2023,8/05/2023,Closed Complete,SubTask_0223667,OH&S Team,Closed Complete,24/04/2023,Rejected,High Risk
SR_Req_0944984,Finance Operations Team,13/04/2023,8/05/2023,Closed Complete,SubTask_0223668,Procurement Operations Team,Closed Complete,19/04/2023,Not Yet Requested,High Risk
SR_Req_0945367,Finance Operations Team,14/04/2023,19/05/2023,Closed Complete,SubTask_0223794,Procurement Operations Team,Closed Complete,17/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945516,Procurement Operations Team,14/04/2023,24/04/2023,Closed Incomplete,SubTask_0223840,Procurement Operations Team,Closed Complete,24/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945519,Finance Operations Team,14/04/2023,28/04/2023,Closed Complete,SubTask_0223841,Procurement Operations Team,Closed Complete,18/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945552,Finance Operations Team,15/04/2023,27/04/2023,Closed Complete,SubTask_0223844,Procurement Operations Team,Closed Complete,21/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945553,Finance Operations Team,15/04/2023,1/06/2023,Closed Complete,SubTask_0223845,Procurement Operations Team,Closed Complete,19/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945606,Procurement Operations Team,17/04/2023,20/04/2023,Closed Complete,SubTask_0223847,Procurement Operations Team,Closed Complete,20/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945852,Finance Operations Team,17/04/2023,24/04/2023,Closed Complete,SubTask_0223907,Procurement Operations Team,Closed Complete,24/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945885,Finance Operations Team,17/04/2023,10/05/2023,Closed Complete,SubTask_0223915,Procurement Operations Team,Closed Complete,17/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945885,Finance Operations Team,17/04/2023,10/05/2023,Closed Complete,SubTask_0223917,Category Management Team,Closed Complete,24/04/2023,Not Yet Requested,Medium Risk
SR_Req_0943340,Finance Operations Team,6/04/2023,30/06/2023,Closed Complete,SubTask_0223931,Category Management Team,Closed Complete,21/04/2023,Not Yet Requested,Medium Risk
SR_Req_0945964,Procurement Operations Team,17/04/2023,17/04/2023,Closed Complete,SubTask_0223933,Procurement Operations Team,Closed Complete,17/04/2023,Not Yet Requested,Medium Risk
SR_Req_0941404,Finance Operations Team,3/04/2023,6/07/2023,Closed Complete,SubTask_0223939,Category Management Team,Closed Complete,29/06/2023,Not Yet Requested,Medium Risk
SR_Req_0943153,Finance Operations Team,5/04/2023,16/05/2023,Closed Complete,SubTask_0223949,Category Management Team,Closed Complete,2/05/2023,Not Yet Requested,Low Risk
SR_Req_0946232,Finance Operations Team,18/04/2023,28/04/2023,Closed Complete,SubTask_0223993,Procurement Operations Team,Closed Complete,19/04/2023,Not Yet Requested,Medium Risk
SR_Req_0946237,Finance Operations Team,18/04/2023,26/04/2023,Closed Complete,SubTask_0223995,Procurement Operations Team,Closed Complete,24/04/2023,Not Yet Requested,Medium Risk
SR_Req_0946343,Procurement Operations Team,18/04/2023,29/05/2023,Closed Incomplete,SubTask_0224029,Procurement Operations Team,Closed Complete,24/04/2023,Not Yet Requested,Medium Risk
SR_Req_0946381,Finance Operations Team,18/04/2023,15/05/2023,Closed Complete,SubTask_0224032,Procurement Operations Team,Closed Complete,15/05/2023,Not Yet Requested,Medium Risk
